sample,bio,tech,species,nReads
PO_201703,E,3,NA,24259
PO_201703,F,1,Barantolla americana CMC01,7413
PO_201703,F,1,Bathycoccus prasinos,50679
PO_201703,F,1,Centropages abdominalis,8268
PO_201703,F,1,Chaetoceros socialis,74
PO_201703,F,1,Chattonella subsalsa,141
PO_201703,F,1,Chordariaceae sp. 7 AP-2014,121
PO_201703,F,1,Cylindrotheca closterium,10
PO_201703,F,1,Dictyocha speculum,220
PO_201703,F,1,Emiliania huxleyi,5
PO_201703,F,1,Heterocapsa rotundata,10
PO_201703,F,1,Homo sapiens,7
PO_201703,F,1,Micromonas pusilla,22860
PO_201703,F,1,Minutocellus polymorphus,984
PO_201703,F,1,Phaeocystis antarctica,17853
PO_201703,F,1,Poteriospumella lacustris,650
PO_201703,F,1,Pseudochattonella farcimen,3
PO_201703,F,1,Pyramimonas parkeae,24
PO_201703,F,1,Skeletonema dohrnii,2
PO_201703,F,1,Thalassiosira nordenskioeldii,188
PO_201703,F,1,Triparma laevis,6074
PO_201703,F,1,NA,24022
PO_201703,F,2,Barantolla americana CMC01,4712
PO_201703,F,2,Bathycoccus prasinos,70200
PO_201703,F,2,Centropages abdominalis,12680
PO_201703,F,2,Chaetoceros socialis,47
PO_201703,F,2,Chattonella subsalsa,65
PO_201703,F,2,Dictyocha speculum,44
PO_201703,F,2,Karlodinium veneficum,6
PO_201703,F,2,Micromonas pusilla,7778
PO_201703,F,2,Minutocellus polymorphus,331
PO_201703,F,2,Phaeocystis antarctica,13243
PO_201703,F,2,Poteriospumella lacustris,79
PO_201703,F,2,Pyramimonas parkeae,4
PO_201703,F,2,Skeletonema dohrnii,2
PO_201703,F,2,Thalassiosira nordenskioeldii,51
PO_201703,F,2,Triparma laevis,1689
PO_201703,F,2,NA,10097
PO_201703,F,3,Barantolla americana CMC01,5580
PO_201703,F,3,Bathycoccus prasinos,76399
PO_201703,F,3,Centropages abdominalis,5353
PO_201703,F,3,Chaetoceros socialis,94
PO_201703,F,3,Chattonella subsalsa,189
PO_201703,F,3,Chordariaceae sp. 7 AP-2014,60
PO_201703,F,3,Cylindrotheca closterium,14
PO_201703,F,3,Dictyocha speculum,421
PO_201703,F,3,Gracilaria vermiculophylla,12
PO_201703,F,3,Heterocapsa rotundata,77
PO_201703,F,3,Karlodinium veneficum,6
PO_201703,F,3,Melosira nummuloides,21
PO_201703,F,3,Micromonas pusilla,24449
PO_201703,F,3,Minutocellus polymorphus,514
PO_201703,F,3,Navicula cryptocephala,45
PO_201703,F,3,Phaeocystis antarctica,19631
PO_201703,F,3,Poteriospumella lacustris,708
PO_201703,F,3,Pseudochattonella farcimen,35
PO_201703,F,3,Pyramimonas parkeae,59
PO_201703,F,3,Thalassiosira nordenskioeldii,341
PO_201703,F,3,Triparma laevis,8337
PO_201703,F,3,NA,28945
PO_201705,A,1,Attheya longicornis,156
PO_201705,A,1,Bathycoccus prasinos,4
PO_201705,A,1,Centropages abdominalis,24939
PO_201705,A,1,Chaetoceros socialis,734
PO_201705,A,1,Chrysochromulina sp. CCMP291,10
PO_201705,A,1,Cylindrotheca closterium,113
PO_201705,A,1,Dictyocha speculum,87
PO_201705,A,1,Ditylum brightwellii,102
PO_201705,A,1,Dolichomastix tenuilepis,7
PO_201705,A,1,Emiliania huxleyi,82
PO_201705,A,1,Gracilaria vermiculophylla,15
PO_201705,A,1,Macoma nasuta,63
PO_201705,A,1,Micromonas pusilla,835
PO_201705,A,1,Mytilus trossulus,47
PO_201705,A,1,Nitzschia longissima,35
PO_201705,A,1,Paracalanus sp. C AC-2013,10
PO_201705,A,1,Protoperidinium cf. depressum,59
PO_201705,A,1,Pythium tracheiphilum,4
PO_201705,A,1,Saprolegnia diclina,77
PO_201705,A,1,Thalassiosira nordenskioeldii,759
PO_201705,A,1,Thalassiosira punctigera,6
PO_201705,A,1,Triparma laevis,7
PO_201705,A,1,NA,54098
PO_201705,A,2,Attheya longicornis,233
PO_201705,A,2,Bathycoccus prasinos,118
PO_201705,A,2,Centropages abdominalis,14207
PO_201705,A,2,Chaetoceros socialis,1328
PO_201705,A,2,Chrysochromulina sp. CCMP291,23
PO_201705,A,2,Cylindrotheca closterium,229
PO_201705,A,2,Dictyocha speculum,186
PO_201705,A,2,Ditylum brightwellii,234
PO_201705,A,2,Emiliania huxleyi,74
PO_201705,A,2,Gracilaria vermiculophylla,16
PO_201705,A,2,Hypomesus pretiosus,10
PO_201705,A,2,Lichtheimia ramosa,2
PO_201705,A,2,Littorina plena,19
PO_201705,A,2,Macoma nasuta,154
PO_201705,A,2,Micromonas pusilla,1353
PO_201705,A,2,Minutocellus polymorphus,33
PO_201705,A,2,Nitzschia cf. promare,23
PO_201705,A,2,Nuttallia olivacea,8
PO_201705,A,2,Paracalanus sp. C AC-2013,61
PO_201705,A,2,Protoperidinium cf. depressum,69
PO_201705,A,2,Pseudochattonella farcimen,24
PO_201705,A,2,Pythium tracheiphilum,36
PO_201705,A,2,Saprolegnia diclina,42
PO_201705,A,2,Skeletonema japonicum,13
PO_201705,A,2,Thalassiosira nordenskioeldii,1332
PO_201705,A,2,Triparma laevis,10
PO_201705,A,2,NA,36521
PO_201705,A,3,Attheya longicornis,78
PO_201705,A,3,Centropages abdominalis,20307
PO_201705,A,3,Chaetoceros socialis,788
PO_201705,A,3,Citharichthys sordidus,14
PO_201705,A,3,Cylindrotheca closterium,42
PO_201705,A,3,Dictyocha speculum,52
PO_201705,A,3,Ditylum brightwellii,83
PO_201705,A,3,Gracilaria vermiculophylla,6
PO_201705,A,3,Macoma nasuta,73
PO_201705,A,3,Micromonas pusilla,1305
PO_201705,A,3,Minutocellus polymorphus,2
PO_201705,A,3,Nitzschia longissima,4
PO_201705,A,3,Paracalanus sp. C AC-2013,23
PO_201705,A,3,Protoperidinium cf. depressum,55
PO_201705,A,3,Saprolegnia diclina,20
PO_201705,A,3,Thalassiosira nordenskioeldii,1281
PO_201705,A,3,Triparma laevis,16
PO_201705,A,3,NA,39803
PO_201705,B,1,Attheya longicornis,10
PO_201705,B,1,Bathycoccus prasinos,35
PO_201705,B,1,Brachionidae sp. SHYT150702c,38
PO_201705,B,1,Centropages abdominalis,26288
PO_201705,B,1,Chaetoceros socialis,731
PO_201705,B,1,Chrysochromulina sp. CCMP291,45
PO_201705,B,1,Chthamalus dalli,173
PO_201705,B,1,Cylindrotheca closterium,47
PO_201705,B,1,Dictyocha speculum,32
PO_201705,B,1,Ditylum brightwellii,103
PO_201705,B,1,Micromonas pusilla,493
PO_201705,B,1,Minutocellus polymorphus,43
PO_201705,B,1,Mytilus trossulus,11
PO_201705,B,1,Paracalanus sp. C AC-2013,27
PO_201705,B,1,Protoperidinium cf. depressum,52
PO_201705,B,1,Saprolegnia diclina,31
PO_201705,B,1,Thalassiosira nordenskioeldii,412
PO_201705,B,1,NA,31843
PO_201705,B,2,Attheya longicornis,36
PO_201705,B,2,Brachionidae sp. SHYT150702c,6
PO_201705,B,2,Centropages abdominalis,17600
PO_201705,B,2,Chaetoceros socialis,605
PO_201705,B,2,Chthamalus dalli,198
PO_201705,B,2,Dictyocha speculum,15
PO_201705,B,2,Ditylum brightwellii,27
PO_201705,B,2,Micromonas pusilla,771
PO_201705,B,2,Mytilus trossulus,6
PO_201705,B,2,Paracalanus sp. C AC-2013,6
PO_201705,B,2,Protoperidinium cf. depressum,13
PO_201705,B,2,Saprolegnia diclina,16
PO_201705,B,2,Thalassiosira nordenskioeldii,336
PO_201705,B,2,NA,30501
PO_201705,B,3,Albugo candida,14
PO_201705,B,3,Attheya longicornis,325
PO_201705,B,3,Brachionidae sp. SHYT150702c,52
PO_201705,B,3,Centropages abdominalis,22100
PO_201705,B,3,Chaetoceros socialis,1455
PO_201705,B,3,Chrysochromulina sp. CCMP291,241
PO_201705,B,3,Cylindrotheca closterium,277
PO_201705,B,3,Dictyocha speculum,243
PO_201705,B,3,Ditylum brightwellii,219
PO_201705,B,3,Lichtheimia ramosa,4
PO_201705,B,3,Micromonas pusilla,1663
PO_201705,B,3,Mytilus trossulus,29
PO_201705,B,3,Nitzschia cf. promare,15
PO_201705,B,3,Paracalanus sp. C AC-2013,73
PO_201705,B,3,Protoperidinium cf. depressum,107
PO_201705,B,3,Pythium tracheiphilum,11
PO_201705,B,3,Saprolegnia diclina,83
PO_201705,B,3,Skeletonema japonicum,3
PO_201705,B,3,Thalassiosira nordenskioeldii,1565
PO_201705,B,3,NA,45440
PO_201705,C,1,Acartia longiremis,236
PO_201705,C,1,Aequorea sp. MW-2012,5
PO_201705,C,1,Attheya longicornis,63
PO_201705,C,1,Calanus pacificus,75
PO_201705,C,1,Centropages abdominalis,23008
PO_201705,C,1,Chaetoceros socialis,724
PO_201705,C,1,Chrysochromulina sp. CCMP291,18
PO_201705,C,1,Citharichthys sordidus,12
PO_201705,C,1,Cylindrotheca closterium,23
PO_201705,C,1,Dictyocha speculum,50
PO_201705,C,1,Ditylum brightwellii,43
PO_201705,C,1,Micromonas pusilla,1109
PO_201705,C,1,Protoperidinium cf. depressum,18
PO_201705,C,1,Saprolegnia diclina,23
PO_201705,C,1,Thalassiosira nordenskioeldii,812
PO_201705,C,1,Triparma laevis,4
PO_201705,C,1,NA,34316
PO_201705,C,2,Acartia longiremis,54
PO_201705,C,2,Attheya longicornis,35
PO_201705,C,2,Bathycoccus prasinos,3
PO_201705,C,2,Calanus pacificus,59
PO_201705,C,2,Centropages abdominalis,22305
PO_201705,C,2,Chaetoceros socialis,665
PO_201705,C,2,Chrysochromulina sp. CCMP291,14
PO_201705,C,2,Cylindrotheca closterium,22
PO_201705,C,2,Dendraster excentricus,11
PO_201705,C,2,Dictyocha speculum,44
PO_201705,C,2,Ditylum brightwellii,61
PO_201705,C,2,Micromonas pusilla,1112
PO_201705,C,2,Minutocellus polymorphus,9
PO_201705,C,2,Paracalanus sp. C AC-2013,9
PO_201705,C,2,Protoperidinium cf. depressum,8
PO_201705,C,2,Saprolegnia diclina,23
PO_201705,C,2,Thalassiosira nordenskioeldii,1266
PO_201705,C,2,Triparma laevis,5
PO_201705,C,2,NA,40539
PO_201705,C,3,Acartia longiremis,48
PO_201705,C,3,Attheya longicornis,12
PO_201705,C,3,Calanus pacificus,41
PO_201705,C,3,Centropages abdominalis,14258
PO_201705,C,3,Chaetoceros socialis,392
PO_201705,C,3,Citharichthys sordidus,3
PO_201705,C,3,Cylindrotheca closterium,11
PO_201705,C,3,Dictyocha speculum,4
PO_201705,C,3,Ditylum brightwellii,12
PO_201705,C,3,Micromonas pusilla,729
PO_201705,C,3,Saprolegnia diclina,9
PO_201705,C,3,Skeletonema japonicum,5
PO_201705,C,3,Thalassiosira nordenskioeldii,591
PO_201705,C,3,NA,25950
PO_201706,A,1,Bathycoccus prasinos,1676
PO_201706,A,1,Blastocladiella emersonii,43
PO_201706,A,1,Calanus pacificus,342
PO_201706,A,1,Chrysochromulina sp. CCMP291,8
PO_201706,A,1,Cylindrotheca closterium,204
PO_201706,A,1,Cymbomonas tetramitiformis,109
PO_201706,A,1,Dendraster excentricus,3559
PO_201706,A,1,Ditylum brightwellii,10
PO_201706,A,1,Emiliania huxleyi,4665
PO_201706,A,1,Micromonas pusilla,2882
PO_201706,A,1,Minutocellus polymorphus,1478
PO_201706,A,1,Nuttallia olivacea,13
PO_201706,A,1,Paracalanus sp. C AC-2013,19
PO_201706,A,1,Poteriospumella lacustris,118
PO_201706,A,1,Pseudochattonella farcimen,1337
PO_201706,A,1,Pythium sp. CAL-2011c,45
PO_201706,A,1,Pythium tracheiphilum,323
PO_201706,A,1,Rhizosolenia setigera,2379
PO_201706,A,1,Skeletonema dohrnii,4418
PO_201706,A,1,Thalassiosira nordenskioeldii,940
PO_201706,A,1,Triparma laevis,1083
PO_201706,A,1,NA,65247
PO_201706,A,2,Aequorea sp. MW-2012,360
PO_201706,A,2,Asterionellopsis guyunusae,7
PO_201706,A,2,Bathycoccus prasinos,2518
PO_201706,A,2,Blastocladiella emersonii,13
PO_201706,A,2,Calanus pacificus,784
PO_201706,A,2,Chrysochromulina sp. CCMP291,61
PO_201706,A,2,Cymbomonas tetramitiformis,88
PO_201706,A,2,Dolichomastix tenuilepis,190
PO_201706,A,2,Emiliania huxleyi,2433
PO_201706,A,2,Haramonas dimorpha,39
PO_201706,A,2,Micromonas pusilla,2498
PO_201706,A,2,Minutocellus polymorphus,158
PO_201706,A,2,Navicula sp. BOLD:AAO6951,65
PO_201706,A,2,Nuttallia olivacea,37
PO_201706,A,2,Paracalanus sp. C AC-2013,52
PO_201706,A,2,Pseudochattonella farcimen,131
PO_201706,A,2,Pythium tracheiphilum,94
PO_201706,A,2,Rhizosolenia setigera,2570
PO_201706,A,2,Skeletonema dohrnii,3448
PO_201706,A,2,Thalassiosira nordenskioeldii,668
PO_201706,A,2,NA,46883
PO_201706,A,3,Bathycoccus prasinos,4598
PO_201706,A,3,Chrysochromulina sp. CCMP291,21
PO_201706,A,3,Cymbomonas tetramitiformis,66
PO_201706,A,3,Emiliania huxleyi,1889
PO_201706,A,3,Littorina plena,3
PO_201706,A,3,Micromonas pusilla,1218
PO_201706,A,3,Paracalanus sp. C AC-2013,34
PO_201706,A,3,Phaeocystis antarctica,608
PO_201706,A,3,Pseudochattonella farcimen,1655
PO_201706,A,3,Rhizosolenia setigera,1721
PO_201706,A,3,Skeletonema dohrnii,2340
PO_201706,A,3,Triparma laevis,50
PO_201706,A,3,NA,32591
PO_201706,B,1,Aequorea sp. MW-2012,67
PO_201706,B,1,Bathycoccus prasinos,1531
PO_201706,B,1,Blastocladiella emersonii,21
PO_201706,B,1,Calanus pacificus,40
PO_201706,B,1,Chattonella subsalsa,45
PO_201706,B,1,Chrysochromulina sp. CCMP291,45
PO_201706,B,1,Cylindrotheca closterium,1116
PO_201706,B,1,Cymatogaster aggregata,105
PO_201706,B,1,Cymbomonas tetramitiformis,86
PO_201706,B,1,Ditylum brightwellii,31
PO_201706,B,1,Emiliania huxleyi,2123
PO_201706,B,1,Haramonas dimorpha,51
PO_201706,B,1,Leitoscoloplos pugettensis CMC01,369
PO_201706,B,1,Micromonas pusilla,3153
PO_201706,B,1,Minutocellus polymorphus,1624
PO_201706,B,1,Myrionema balticum,5
PO_201706,B,1,Navicula cryptocephala,38
PO_201706,B,1,Nitzschia longissima,32
PO_201706,B,1,Nitzschia palea,15
PO_201706,B,1,Nuttallia olivacea,28
PO_201706,B,1,Paracalanus sp. C AC-2013,123
PO_201706,B,1,Pedospumella sinomuralis,3
PO_201706,B,1,Poteriospumella lacustris,44
PO_201706,B,1,Prasinoderma coloniale,258
PO_201706,B,1,Pseudochattonella farcimen,2497
PO_201706,B,1,Pythium tracheiphilum,20
PO_201706,B,1,Rhizosolenia setigera,3956
PO_201706,B,1,Skeletonema dohrnii,6137
PO_201706,B,1,Thalassiosira nordenskioeldii,1127
PO_201706,B,1,Triparma laevis,649
PO_201706,B,1,NA,62427
PO_201706,B,2,Asterionellopsis guyunusae,72
PO_201706,B,2,Bathycoccus prasinos,5397
PO_201706,B,2,Blastocladiella emersonii,40
PO_201706,B,2,Chaetoceros socialis,65
PO_201706,B,2,Chattonella subsalsa,175
PO_201706,B,2,Chrysochromulina sp. CCMP291,16
PO_201706,B,2,Cylindrotheca closterium,1299
PO_201706,B,2,Emiliania huxleyi,596
PO_201706,B,2,Mayamaea permitis,6
PO_201706,B,2,Micromonas pusilla,5423
PO_201706,B,2,Minutocellus polymorphus,1451
PO_201706,B,2,Nitzschia cf. promare,126
PO_201706,B,2,Paracalanus sp. C AC-2013,151
PO_201706,B,2,Pedospumella sinomuralis,14
PO_201706,B,2,Phaeocystis antarctica,740
PO_201706,B,2,Poteriospumella lacustris,309
PO_201706,B,2,Prasinoderma coloniale,4693
PO_201706,B,2,Protoperidinium cf. depressum,167
PO_201706,B,2,Pseudochattonella farcimen,1568
PO_201706,B,2,Pythium tracheiphilum,201
PO_201706,B,2,Rhizosolenia setigera,4732
PO_201706,B,2,Skeletonema dohrnii,6150
PO_201706,B,2,Thalassiosira nordenskioeldii,2563
PO_201706,B,2,Triparma laevis,2039
PO_201706,B,2,NA,78710
PO_201706,B,3,Bathycoccus prasinos,240
PO_201706,B,3,Chaetoceros socialis,17
PO_201706,B,3,Chordariaceae sp. 7 AP-2014,27
PO_201706,B,3,Chrysochromulina sp. CCMP291,74
PO_201706,B,3,Cylindrotheca closterium,418
PO_201706,B,3,Emiliania huxleyi,3003
PO_201706,B,3,Gracilaria vermiculophylla,20
PO_201706,B,3,Haramonas dimorpha,24
PO_201706,B,3,Micromonas pusilla,2103
PO_201706,B,3,Minutocellus polymorphus,473
PO_201706,B,3,Navicula cryptocephala,6
PO_201706,B,3,Paracalanus sp. C AC-2013,61
PO_201706,B,3,Poteriospumella lacustris,15
PO_201706,B,3,Prasinoderma coloniale,1369
PO_201706,B,3,Pseudochattonella farcimen,1841
PO_201706,B,3,Pythium tracheiphilum,126
PO_201706,B,3,Rhizosolenia setigera,3020
PO_201706,B,3,Saprolegnia diclina,35
PO_201706,B,3,Skeletonema dohrnii,5563
PO_201706,B,3,Thalassiosira nordenskioeldii,975
PO_201706,B,3,NA,58761
PO_201706,C,1,Aequorea sp. MW-2012,74
PO_201706,C,1,Albugo candida,14
PO_201706,C,1,Asterionellopsis guyunusae,4
PO_201706,C,1,Bathycoccus prasinos,2799
PO_201706,C,1,Blastocladiella emersonii,40
PO_201706,C,1,Chaetoceros socialis,24
PO_201706,C,1,Chaetoceros sp. MBTD-CMFRI-S062,4
PO_201706,C,1,Chattonella subsalsa,89
PO_201706,C,1,Chrysochromulina sp. CCMP291,138
PO_201706,C,1,Cylindrotheca closterium,473
PO_201706,C,1,Cymbomonas tetramitiformis,117
PO_201706,C,1,Dolichomastix tenuilepis,13
PO_201706,C,1,Emiliania huxleyi,1298
PO_201706,C,1,Fucus distichus,4
PO_201706,C,1,Gracilaria vermiculophylla,25
PO_201706,C,1,Haramonas dimorpha,124
PO_201706,C,1,Lichtheimia ramosa,5
PO_201706,C,1,Mayamaea permitis,10
PO_201706,C,1,Micromonas pusilla,4636
PO_201706,C,1,Minutocellus polymorphus,1407
PO_201706,C,1,Musculista senhousia,14
PO_201706,C,1,Mytilus trossulus,51
PO_201706,C,1,Navicula cryptocephala,57
PO_201706,C,1,Nitzschia cf. promare,9
PO_201706,C,1,Nuttallia olivacea,280
PO_201706,C,1,Paracalanus sp. C AC-2013,76
PO_201706,C,1,Parvamoeba rugata,3
PO_201706,C,1,Pedospumella sinomuralis,16
PO_201706,C,1,Phaeocystis antarctica,15
PO_201706,C,1,Poteriospumella lacustris,89
PO_201706,C,1,Prasinoderma coloniale,1584
PO_201706,C,1,Pseudochattonella farcimen,2087
PO_201706,C,1,Pythium tracheiphilum,243
PO_201706,C,1,Rhizosolenia setigera,11454
PO_201706,C,1,Saprolegnia diclina,8
PO_201706,C,1,Skeletonema dohrnii,5113
PO_201706,C,1,Thalassionema nitzschioides,14
PO_201706,C,1,Thalassiosira nordenskioeldii,1150
PO_201706,C,1,Thecamonas trahens,3
PO_201706,C,1,Triparma laevis,239
PO_201706,C,1,NA,91583
PO_201706,C,2,Albugo candida,4
PO_201706,C,2,Asterionellopsis guyunusae,42
PO_201706,C,2,Attheya longicornis,5
PO_201706,C,2,Bathycoccus prasinos,1001
PO_201706,C,2,Blastocladiella emersonii,41
PO_201706,C,2,Calanus pacificus,6
PO_201706,C,2,Chaetoceros socialis,49
PO_201706,C,2,Chaetoceros sp. MBTD-CMFRI-S062,3
PO_201706,C,2,Chrysochromulina sp. CCMP291,8
PO_201706,C,2,Cylindrotheca closterium,1001
PO_201706,C,2,Cymbomonas tetramitiformis,24
PO_201706,C,2,Ditylum brightwellii,22
PO_201706,C,2,Emiliania huxleyi,1466
PO_201706,C,2,Haramonas dimorpha,67
PO_201706,C,2,Lichtheimia ramosa,5
PO_201706,C,2,Mayamaea permitis,6
PO_201706,C,2,Micromonas pusilla,3288
PO_201706,C,2,Minutocellus polymorphus,1313
PO_201706,C,2,Monocorophium acherusicum,7
PO_201706,C,2,Musculista senhousia,3
PO_201706,C,2,Myrionema balticum,4
PO_201706,C,2,Mytilus trossulus,37
PO_201706,C,2,Navicula cryptocephala,71
PO_201706,C,2,Nuttallia olivacea,167
PO_201706,C,2,Paracalanus sp. C AC-2013,11
PO_201706,C,2,Phytophthora multivora,45
PO_201706,C,2,Platynereis sp. CMC02,6
PO_201706,C,2,Poteriospumella lacustris,72
PO_201706,C,2,Prasinoderma coloniale,278
PO_201706,C,2,Pseudochattonella farcimen,1387
PO_201706,C,2,Pythium tracheiphilum,105
PO_201706,C,2,Rhizosolenia setigera,5596
PO_201706,C,2,Ruditapes philippinarum,9
PO_201706,C,2,Skeletonema dohrnii,6424
PO_201706,C,2,Thalassiosira nordenskioeldii,1341
PO_201706,C,2,Triparma laevis,557
PO_201706,C,2,NA,67266
PO_201706,C,3,Aequorea sp. MW-2012,111
PO_201706,C,3,Asterionellopsis guyunusae,12
PO_201706,C,3,Attheya longicornis,36
PO_201706,C,3,Bathycoccus prasinos,566
PO_201706,C,3,Blastocladiella emersonii,34
PO_201706,C,3,Chaetoceros socialis,6
PO_201706,C,3,Chattonella subsalsa,6
PO_201706,C,3,Chrysochromulina sp. CCMP291,41
PO_201706,C,3,Cylindrotheca closterium,1182
PO_201706,C,3,Cymbomonas tetramitiformis,109
PO_201706,C,3,Dolichomastix tenuilepis,25
PO_201706,C,3,Emiliania huxleyi,1135
PO_201706,C,3,Gracilaria vermiculophylla,143
PO_201706,C,3,Haramonas dimorpha,20
PO_201706,C,3,Hemigrapsus oregonensis,6
PO_201706,C,3,Micromonas pusilla,3289
PO_201706,C,3,Minutocellus polymorphus,1022
PO_201706,C,3,Navicula cryptocephala,61
PO_201706,C,3,Nitzschia longissima,31
PO_201706,C,3,Nuttallia olivacea,176
PO_201706,C,3,Paracalanus sp. C AC-2013,70
PO_201706,C,3,Phytophthora multivora,15
PO_201706,C,3,Platynereis sp. CMC02,7
PO_201706,C,3,Poteriospumella lacustris,80
PO_201706,C,3,Prasinoderma coloniale,499
PO_201706,C,3,Pseudo-nitzschia hasleana,62
PO_201706,C,3,Pseudochattonella farcimen,1487
PO_201706,C,3,Pythium tracheiphilum,107
PO_201706,C,3,Rhizosolenia setigera,5386
PO_201706,C,3,Saprolegnia diclina,6
PO_201706,C,3,Skeletonema dohrnii,3571
PO_201706,C,3,Thalassionema nitzschioides,11
PO_201706,C,3,Thalassiosira nordenskioeldii,816
PO_201706,C,3,Triparma laevis,205
PO_201706,C,3,NA,59465
PO_201707,A,1,Bathycoccus prasinos,9266
PO_201707,A,1,Caulacanthus ustulatus,19
PO_201707,A,1,Crassostrea gigas,18
PO_201707,A,1,Cylindrotheca closterium,747
PO_201707,A,1,Dendraster excentricus,5
PO_201707,A,1,Emiliania huxleyi,24613
PO_201707,A,1,Homo sapiens,38
PO_201707,A,1,Micromonas pusilla,13200
PO_201707,A,1,Minutocellus polymorphus,19185
PO_201707,A,1,Navicula sp. BOLD:AAO6951,14
PO_201707,A,1,Nitzschia palea,46
PO_201707,A,1,Poteriospumella lacustris,7
PO_201707,A,1,Pseudochattonella farcimen,17
PO_201707,A,1,Ruditapes philippinarum,365
PO_201707,A,1,Thalassiosira nordenskioeldii,33
PO_201707,A,1,Triparma laevis,9
PO_201707,A,1,NA,42457
PO_201707,A,2,Barantolla americana CMC01,116
PO_201707,A,2,Bathycoccus prasinos,7065
PO_201707,A,2,Caulacanthus ustulatus,76
PO_201707,A,2,Crassostrea gigas,44
PO_201707,A,2,Cylindrotheca closterium,531
PO_201707,A,2,Emiliania huxleyi,16289
PO_201707,A,2,Gallus gallus,72
PO_201707,A,2,Gracilaria vermiculophylla,80
PO_201707,A,2,Homo sapiens,71
PO_201707,A,2,Leucocryptos marina,13
PO_201707,A,2,Lichtheimia ramosa,6
PO_201707,A,2,Littorina plena,39
PO_201707,A,2,Littorina scutulata,9
PO_201707,A,2,Micromonas pusilla,12312
PO_201707,A,2,Minutocellus polymorphus,14444
PO_201707,A,2,Monocorophium acherusicum,49
PO_201707,A,2,Navicula cryptocephala,6
PO_201707,A,2,Navicula sp. BOLD:AAO6951,9
PO_201707,A,2,Nitzschia palea,8
PO_201707,A,2,Poteriospumella lacustris,7
PO_201707,A,2,Ruditapes philippinarum,84
PO_201707,A,2,Thalassiosira nordenskioeldii,4
PO_201707,A,2,Triparma laevis,100
PO_201707,A,2,NA,32595
PO_201707,A,3,Bathycoccus prasinos,13021
PO_201707,A,3,Caulacanthus ustulatus,36
PO_201707,A,3,Crassostrea gigas,24
PO_201707,A,3,Cylindrotheca closterium,389
PO_201707,A,3,Emiliania huxleyi,38591
PO_201707,A,3,Gracilaria vermiculophylla,75
PO_201707,A,3,Homo sapiens,93
PO_201707,A,3,Lichtheimia ramosa,8
PO_201707,A,3,Littorina scutulata,38
PO_201707,A,3,Micromonas pusilla,19029
PO_201707,A,3,Minutocellus polymorphus,25825
PO_201707,A,3,Navicula cryptocephala,22
PO_201707,A,3,Navicula sp. BOLD:AAO6951,28
PO_201707,A,3,Nereis vexillosa,36
PO_201707,A,3,Nitzschia palea,60
PO_201707,A,3,Ostrea lurida,6
PO_201707,A,3,Platichthys stellatus,21
PO_201707,A,3,Poteriospumella lacustris,5
PO_201707,A,3,Ruditapes philippinarum,221
PO_201707,A,3,Skeletonema dohrnii,9
PO_201707,A,3,Thalassiosira nordenskioeldii,16
PO_201707,A,3,Triparma laevis,65
PO_201707,A,3,NA,50572
PO_201707,B,1,Bathycoccus prasinos,7757
PO_201707,B,1,Caulacanthus ustulatus,11
PO_201707,B,1,Crassostrea gigas,22
PO_201707,B,1,Cylindrotheca closterium,15
PO_201707,B,1,Cymbomonas tetramitiformis,2
PO_201707,B,1,Emiliania huxleyi,26124
PO_201707,B,1,Gallus gallus,72
PO_201707,B,1,Gracilaria vermiculophylla,23
PO_201707,B,1,Harpacticoida sp. DNZ085,34
PO_201707,B,1,Homo sapiens,16
PO_201707,B,1,Leucocryptos marina,3
PO_201707,B,1,Lichtheimia ramosa,11
PO_201707,B,1,Micromonas pusilla,10921
PO_201707,B,1,Minutocellus polymorphus,21102
PO_201707,B,1,Monocorophium acherusicum,32
PO_201707,B,1,Ostrea lurida,9376
PO_201707,B,1,Paracalanus sp. C AC-2013,14
PO_201707,B,1,Poteriospumella lacustris,10
PO_201707,B,1,Prasinoderma coloniale,96
PO_201707,B,1,Ruditapes philippinarum,128
PO_201707,B,1,Saprolegnia diclina,3
PO_201707,B,1,Stiliger fuscovittatus,7
PO_201707,B,1,Thalassiosira nordenskioeldii,27
PO_201707,B,1,NA,31903
PO_201707,B,2,Bathycoccus prasinos,8821
PO_201707,B,2,Caulacanthus ustulatus,15
PO_201707,B,2,Crassostrea gigas,20
PO_201707,B,2,Cylindrotheca closterium,43
PO_201707,B,2,Emiliania huxleyi,27320
PO_201707,B,2,Homo sapiens,23
PO_201707,B,2,Micromonas pusilla,11334
PO_201707,B,2,Minutocellus polymorphus,23105
PO_201707,B,2,Monocorophium acherusicum,8
PO_201707,B,2,Navicula sp. BOLD:AAO6951,7
PO_201707,B,2,Ostrea lurida,6019
PO_201707,B,2,Paracalanus sp. C AC-2013,14
PO_201707,B,2,Pythium sp. CAL-2011c,3
PO_201707,B,2,Rhizosolenia setigera,2
PO_201707,B,2,Ruditapes philippinarum,113
PO_201707,B,2,Thalassiosira nordenskioeldii,23
PO_201707,B,2,Triparma laevis,29
PO_201707,B,2,NA,29267
PO_201707,B,3,Bathycoccus prasinos,8584
PO_201707,B,3,Caulacanthus ustulatus,25
PO_201707,B,3,Chrysochromulina sp. CCMP291,4
PO_201707,B,3,Crassostrea gigas,15
PO_201707,B,3,Cylindrotheca closterium,138
